model,embedding_size,droprate,batch_size,learning_rate,best_train,best_val,best_test
0,50,0.1,128,0.001,0.991875,0.9890823251696665,0.9880470926574998
1,50,0.1,128,0.0035,0.9982291666666666,0.9911478315704022,0.9878673496899434
2,50,0.1,128,0.006,0.9944270833333333,0.9890823255214202,0.9888559360115036
3,50,0.1,256,0.001,0.9990104166666667,0.9902626143405134,0.9895749078817291
4,50,0.1,256,0.0035,0.9995833333333334,0.9902626143405134,0.9875078637548306
5,50,0.1,256,0.006,0.9989583333333333,0.9911478312186486,0.9882268356250562
6,50,0.2,128,0.001,0.9979166666666667,0.9899675420478017,0.9877774782061652
7,50,0.2,128,0.0035,0.995,0.9902626143405134,0.9886761930439472
8,50,0.2,128,0.006,0.9973958333333334,0.9902626143405134,0.988136964162705
9,50,0.2,256,0.001,0.9934375,0.9879020359988198,0.9883167071088343
10,50,0.2,256,0.0035,0.9949479166666667,0.9899675420478017,0.9875977352386088
11,50,0.2,256,0.006,0.9936979166666666,0.9899675420478017,0.98903567897906
12,50,0.3,128,0.001,0.9979166666666667,0.991737975804072,0.9887660645277253
13,50,0.3,128,0.0035,0.9920833333333333,0.9908527589259368,0.9873281207872742
14,50,0.3,128,0.006,0.9963541666666667,0.9887872528769549,0.9878673496899434
15,50,0.3,256,0.001,0.9977083333333333,0.9890823251696665,0.9887660645277253
16,50,0.3,256,0.0035,0.9988541666666667,0.9902626143405134,0.9884964500763908
17,50,0.3,256,0.006,0.9913541666666666,0.9893773974623783,0.9880470926574998
18,100,0.1,128,0.001,0.9988020833333333,0.9902626143405134,0.9895749078817291
19,100,0.1,128,0.0035,0.99765625,0.9899675420478017,0.9893052934303945
20,100,0.1,128,0.006,0.98234375,0.9893773974623783,0.9865192774332704
21,100,0.1,256,0.001,0.99953125,0.9899675416784605,0.9894850363979509
22,100,0.1,256,0.0035,0.99734375,0.9908527592776905,0.9902040082681766
23,100,0.1,256,0.006,0.99546875,0.9923281203894955,0.9875977352386088
24,100,0.2,128,0.001,0.99625,0.9873118914133963,0.9880470926574998
25,100,0.2,128,0.0035,0.9996875,0.9902626143405134,0.9868787633683832
26,100,0.2,128,0.006,0.9934895833333334,0.9887872528769549,0.987238249303496
27,100,0.2,256,0.001,0.9982291666666666,0.9893773970930371,0.988586321560169
28,100,0.2,256,0.0035,0.9983333333333333,0.9908527589259368,0.9883167071088343
29,100,0.2,256,0.006,0.9969270833333334,0.9905576866332252,0.9889458074952817
30,100,0.3,128,0.001,0.9942708333333333,0.9908527592776905,0.9879572211737215
31,100,0.3,128,0.0035,0.9971875,0.9905576869849787,0.9891255504842652
32,100,0.3,128,0.006,0.998125,0.9902626139711722,0.9880470926574998
33,100,0.3,256,0.001,0.99703125,0.9887872532287084,0.9870585063359396
34,100,0.3,256,0.0035,0.995,0.9899675420478017,0.9878673496899434
35,100,0.3,256,0.006,0.9913541666666666,0.9902626143405134,0.987238249303496
36,200,0.1,128,0.001,0.9991145833333334,0.9902626143405134,0.988586321560169
37,200,0.1,128,0.0035,0.9917708333333334,0.9902626146922671,0.9871483778197178
38,200,0.1,128,0.006,0.9930208333333334,0.9890823251696665,0.9866990204008268
39,200,0.1,256,0.001,0.9988541666666667,0.9902626143405134,0.9867888918846051
40,200,0.1,256,0.0035,0.9925,0.9902626143405134,0.9871483778197178
41,200,0.1,256,0.006,0.9965625,0.9893773978141319,0.9849015907252628
42,200,0.2,128,0.001,0.9986979166666666,0.9893773974623783,0.9884065785926126
43,200,0.2,128,0.0035,0.99890625,0.9893773974623783,0.9870585063359396
44,200,0.2,128,0.006,0.994375,0.9881971082915314,0.9833737755010336
45,200,0.2,256,0.001,0.99703125,0.9908527592776905,0.9871483778197178
46,200,0.2,256,0.0035,0.9909375,0.98967246975509,0.9882268356250562
47,200,0.2,256,0.006,0.9902083333333334,0.9881971082915314,0.9881369641412779
48,200,0.3,128,0.001,0.99515625,0.98967246975509,0.9884065785926126
49,200,0.3,128,0.0035,0.9931770833333333,0.9908527589259368,0.9875977352386088
50,200,0.3,128,0.006,0.9883854166666667,0.9879020363505733,0.9870585063359396
51,200,0.3,256,0.001,0.99859375,0.9905576866332252,0.9874179922710524
52,200,0.3,256,0.0035,0.9986979166666666,0.9899675423995553,0.9871483778197178
53,200,0.3,256,0.006,0.9938020833333333,0.9884921809359968,0.9862496629819358
54,300,0.1,128,0.001,0.9970833333333333,0.9902626143405134,0.986339534465714
55,300,0.1,128,0.0035,0.9932291666666667,0.9858365303015912,0.9841826188550373
56,300,0.1,128,0.006,0.9825520833333333,0.985541457657126,0.9836433899523681
57,300,0.1,256,0.001,1.0,0.9914429035113603,0.9884065785926126
58,300,0.1,256,0.0035,0.9911458333333333,0.9914429035113603,0.9875977352386088
59,300,0.1,256,0.006,0.998125,0.9893773978141319,0.9859800485306013
60,300,0.2,128,0.001,0.99875,0.9890823251696665,0.9878673496899434
61,300,0.2,128,0.0035,0.9986458333333333,0.9893773978141319,0.9874179922710524
62,300,0.2,128,0.006,0.9917708333333334,0.9834759515905563,0.9846319762739283
63,300,0.2,256,0.001,0.9925,0.98967246975509,0.9879572211737215
64,300,0.2,256,0.0035,0.9969270833333334,0.9905576866332252,0.9865192774332704
65,300,0.2,256,0.006,0.9908333333333333,0.98967246975509,0.9852610766603757
66,300,0.3,128,0.001,0.9961458333333333,0.9905576866332252,0.9867888918846051
67,300,0.3,128,0.0035,0.9904166666666666,0.9905576862638839,0.9883167071302614
68,300,0.3,128,0.006,0.9891145833333334,0.9858365303015912,0.9853509481441539
69,300,0.3,256,0.001,0.996875,0.9902626143405134,0.9881369641412779
70,300,0.3,256,0.0035,0.9915104166666666,0.9884921805842432,0.9865192774332704
71,300,0.3,256,0.006,0.9932291666666667,0.9884921809359968,0.9858003055630449
