model,embedding_size,droprate,batch_size,learning_rate,best_train,best_val,best_test
0,50,0.1,128,0.001,0.9957291666666667,0.98967246975509,0.9861597914981577
1,50,0.1,128,0.004,0.9994270833333333,0.9887872532287084,0.9884065785926126
2,50,0.1,128,0.007000000000000001,0.949375,0.9864266745352611,0.9859800485306013
3,50,0.1,128,0.01,0.9565104166666667,0.983180878946091,0.9840028758874809
4,50,0.1,256,0.001,0.9978125,0.98967246975509,0.9871483778197178
5,50,0.1,256,0.004,0.9965104166666666,0.9890823251696665,0.9875078637548306
6,50,0.1,256,0.007000000000000001,0.9913541666666666,0.9873118914133963,0.9865192774332704
7,50,0.1,256,0.01,0.9940625,0.9867217468279729,0.9861597914981577
8,50,0.1,384,0.001,0.9995312476158142,0.9881971034725073,0.9852610766603757
9,50,0.1,384,0.004,0.995,0.9890823271043113,0.9850813336928192
10,50,0.1,384,0.007000000000000001,0.9953645825386047,0.9867217395994367,0.986339534465714
11,50,0.1,384,0.01,0.9965104115009308,0.9870168208970401,0.9856205625954885
12,50,0.2,128,0.001,0.9991666666666666,0.9902626143405134,0.9864294059494922
13,50,0.2,128,0.004,0.9968229166666667,0.9887872532287084,0.9863395344871411
14,50,0.2,128,0.007000000000000001,0.995625,0.9855414572877848,0.9853509481441539
15,50,0.2,128,0.01,0.9868229166666667,0.9837710239008557,0.9837332614361463
16,50,0.2,256,0.001,0.9969270833333334,0.9887872532287084,0.9854408196279321
17,50,0.2,256,0.004,0.9988541666666667,0.988197108643285,0.9849914622090411
18,50,0.2,256,0.007000000000000001,0.9980208333333334,0.9861316022425495,0.9865192774332704
19,50,0.2,256,0.01,0.9899479166666667,0.9843611688380327,0.9855306911117102
20,50,0.2,384,0.001,0.9978124952316284,0.9893773995553121,0.986339534465714
21,50,0.2,384,0.004,0.9990624940395355,0.9893773923267759,0.986339534465714
22,50,0.2,384,0.007000000000000001,0.9984895813465119,0.9884921801093758,0.9869686348521615
23,50,0.2,384,0.01,0.9977604138851166,0.9873118912551072,0.9865192774332704
24,50,0.30000000000000004,128,0.001,0.9993229166666666,0.9899675420478017,0.9859800485306013
25,50,0.30000000000000004,128,0.004,0.99671875,0.9893773978141319,0.987238249303496
26,50,0.30000000000000004,128,0.007000000000000001,0.9939583333333334,0.9893773974623783,0.987238249303496
27,50,0.30000000000000004,128,0.01,0.9413020833333333,0.9828858066533793,0.9823851891794734
28,50,0.30000000000000004,256,0.001,0.9938020833333333,0.9890823251696665,0.9859800485520283
29,50,0.30000000000000004,256,0.004,0.9947916666666666,0.9884921809359968,0.987687606722387
30,50,0.30000000000000004,256,0.007000000000000001,0.9940104166666667,0.9855414580088796,0.9869686348521615
31,50,0.30000000000000004,256,0.01,0.9893229166666667,0.9855414580088796,0.9861597914981577
32,50,0.30000000000000004,384,0.001,0.9979687464237214,0.9864266806557735,0.9856205625954885
33,50,0.30000000000000004,384,0.004,0.999843748807907,0.9884921847701108,0.9868787633683832
34,50,0.30000000000000004,384,0.007000000000000001,0.9991145777702332,0.988787243713774,0.9855306911117102
35,50,0.30000000000000004,384,0.01,0.9932812476158142,0.987902032639573,0.9856205625954885
36,50,0.4,128,0.001,0.99890625,0.9920330480967837,0.987687606722387
37,50,0.4,128,0.004,0.9977083333333333,0.9870168194724381,0.9875078637548306
