model,kernel,alpha,batch_size,gamma,n_components,best_train,best_val,best_test
71,rbf,0.000255,300,0.01,1000,0.5092708333333333,0.509294777220419,0.4906983014289566
72,rbf,0.000255,300,0.5075,100,0.7998958333333334,0.5066391265860136,0.4906983014289566
73,rbf,0.000255,300,0.5075,1000,0.8802083333333334,0.509294777220419,0.5093016985710435
74,rbf,0.000255,300,1.005,100,0.81375,0.509294777220419,0.4764986069920014
75,rbf,0.000255,300,1.005,1000,0.9333333333333333,0.5116553555621127,0.5525298822683562
76,rbf,0.000255,300,1.5025,100,0.8334895833333333,0.5110652109766893,0.504538509930799
77,rbf,0.000255,300,1.5025,1000,0.9446875,0.4971968132192387,0.4873730565291633
78,rbf,0.000255,300,2.0,100,0.8233333333333334,0.5089997049277073,0.5141547586950661
79,rbf,0.000255,300,2.0,1000,0.9253645833333334,0.5089997049277073,0.4897097151073964
80,rbf,0.0003775,300,0.01,100,0.6534375,0.509294777220419,0.5093016985710435
81,rbf,0.0003775,300,0.01,1000,0.7158854166666667,0.509294777220419,0.5090320841197088
82,rbf,0.0003775,300,0.5075,100,0.7379166666666667,0.4921805842431396,0.5093016985710435
83,rbf,0.0003775,300,0.5075,1000,0.8780208333333334,0.503098259073473,0.5093016985710435
84,rbf,0.0003775,300,1.005,100,0.814375,0.509294777220419,0.48800215691561066
85,rbf,0.0003775,300,1.005,1000,0.9351041666666666,0.5101799940985542,0.4906084299451784
86,rbf,0.0003775,300,1.5025,100,0.8053125,0.4951313071702567,0.4907881729127348
87,rbf,0.0003775,300,1.5025,1000,0.89515625,0.5066391265860136,0.4906983014289566
88,rbf,0.0003775,300,2.0,100,0.82234375,0.5098849218058424,0.497258919744765
89,rbf,0.0003775,300,2.0,1000,0.93984375,0.49749188551195045,0.5104700278601599
90,rbf,0.0005,300,0.01,100,0.49072916666666666,0.509294777220419,0.5093016985710435
91,rbf,0.0005,300,0.01,1000,0.5092708333333333,0.509294777220419,0.5093016985710435
92,rbf,0.0005,300,0.5075,100,0.79203125,0.5095898495131307,0.5092118270872652
93,rbf,0.0005,300,0.5075,1000,0.9026041666666667,0.5222779580997344,0.490878044396513
94,rbf,0.0005,300,1.005,100,0.806875,0.492770728828563,0.4971690482609868
95,rbf,0.0005,300,1.005,1000,0.8485416666666666,0.492770728828563,0.5069650399928103
96,rbf,0.0005,300,1.5025,100,0.806875,0.5095898495131307,0.5084029837332614
97,rbf,0.0005,300,1.5025,1000,0.9154166666666667,0.49188551195042785,0.490878044396513
98,rbf,0.0005,300,2.0,100,0.8019270833333333,0.509294777220419,0.5096611845061562
99,rbf,0.0005,300,2.0,1000,0.9359375,0.484508704632635,0.4907881729127348
