model,pre_trained_embeddings,embedding_size,droprate,batch_size,learning_rate,best_train,best_val,best_test
58,False,100,0.1,384,0.007,0.999322913885117,0.986721748446039,0.986699020400827
59,False,100,0.1,384,0.01,0.996510413885117,0.987016805296769,0.985800305563045
60,False,100,0.2,128,0.001,0.992135416666667,0.98908232552142,0.987328120787274
61,False,100,0.2,128,0.004,0.995208333333333,0.98790203599882,0.986429405949492
62,False,100,0.2,128,0.007,0.98171875,0.983475951959898,0.982385189179473
63,False,100,0.2,128,0.01,0.946614583333333,0.978164650691087,0.98004853060124
64,False,100,0.2,256,0.001,0.991927083333333,0.990557686633225,0.98553069111171
65,False,100,0.2,256,0.004,0.996197916666667,0.987606963706108,0.985800305563045
66,False,100,0.2,256,0.007,0.993125,0.985836530301591,0.984182618876464
67,False,100,0.2,256,0.01,0.992916666666667,0.985246385364414,0.984182618855037
68,False,100,0.2,384,0.001,0.999687497615814,0.990557695638117,0.986249662981936
69,False,100,0.2,384,0.004,0.988281246423721,0.987016814143371,0.985350948144154
70,False,100,0.2,384,0.007,0.996874996423721,0.987606961138307,0.983194032533477
71,False,100,0.2,384,0.01,0.992656246423721,0.98642666924137,0.985440819627932
72,False,100,0.3,128,0.001,0.9996875,0.98967246975509,0.987328120787274
73,False,100,0.3,128,0.004,0.9946875,0.98790203599882,0.986788891884605
74,False,100,0.3,128,0.007,0.952395833333333,0.985246385716168,0.985171205176598
75,False,100,0.3,128,0.01,0.947760416666667,0.980525228311686,0.982744675114586
76,False,100,0.3,256,0.001,0.998333333333333,0.989967542047802,0.985350948144154
77,False,100,0.3,256,0.004,0.993020833333333,0.988787253228708,0.986069920014379
78,False,100,0.3,256,0.007,0.992291666666667,0.987016819120685,0.985081333692819
79,False,100,0.3,256,0.01,0.985677083333333,0.984361168116938,0.985440819627932
80,False,100,0.3,384,0.001,1,0.989672480378048,0.984002875887481
81,False,100,0.3,384,0.004,0.998802078962326,0.989672471531446,0.986609148917049
